State,HWY #,Location,Height,Inches,Posted,Height.1
KY,"Alt. US 60      
(3rd Street)",Louisville - 0.2 miles South of Eastern Parkway,11.0,8.0,,
KY,US 421,Fayette County - 1 mile east of Scott County Line,13.0,6.0,,
KY,US 431,Central City - 0.1 miles south of KY 70,11.0,9.0,,
KY,US 45,Paducak - Ohio River Bridge,13.0,1.0,,
KY,US 60,Owensboro - 0.5 miles east of US 431 at US 231 Ohio River Bridge Underpass,13.0,0.0,,
KY,US 60,East of Paducah at Tennessee River,12.0,11.0,,
NY,NY 7,Binghampton- 0.1 Mile North of US 11,12.0,4.0,,
NY,NY 7,Cobleskill,13.0,10.0,,
NY,NY 7,Cobleskill,13.0,9.0,,
NY,NY 7,Rotterdam- 1.7 Miles Northwest of NY 146,13.0,9.0,,
NY,NY 7,Sanitaria Springs- 5.5 miles east of NY,13.0,7.0,,
NY,NY 85,New Scotland- 0.7 Mile west of NY 85A,13.0,9.0,,
NY,NY 85,Slingerlands- 0.7 Miles Southwest of NY 140,12.0,2.0,,
NY,NY 85A,Voorheesville- 0.2 Mile West of NY 155,12.0,1.0,,
NY,NY 9A,Ossining- 0.2 Miles North of NY 133,12.0,6.0,,
NY,NY 9A,Ossining-1.4 Miles North of NY 133,11.0,9.0,,
NY,NY 9A/100,Briarcliffe Manor- 1.5 Miles North of Junction NY 117,12.0,2.0,,
NY,NY 9A/100,"Hawthorne- North, at NY 117 Overpass",13.0,3.0,,
NY,NY 9J,Rensselaer- at Junction with US 9/20,13.0,10.0,,
NY,NY 9J,Stuyvesant- 1.6 Miles North,13.0,9.0,,
NY,NY 9L,Lake George- 0.3 Mile Northeast of US 9,13.0,5.0,,
NY,Rte 951R,Vandalia- 0.3 Miles Southeast at Allegheny River,11.0,3.0,,
NY,US 1,Pelham Manor- at Hutchinson River Parkway Overpass,13.0,8.0,,
NY,US 1,Port Chester,12.0,11.0,,
NY,US 1,Port Chester,12.0,8.0,,
NY,US 11,Binghampton- 6 Miles North at I-81 Overpass,13.0,1.0,,
NY,US 11,Binghampton- 0.4 Mile North of NY 17C,13.0,3.0,,
NY,US 11,Binghampton- 0.25 Miles South of Junction NY 7,13.0,2.0,,
NY,US 11,Champlain- 2.5 Miles East,13.0,10.0,,
NY,US 11,Evans Mills- 0.8 Mile South of NY 342,13.0,8.0,,
NY,US 11 (Wolf St),Syracuse- 0.4 Mile South of I-90,12.0,11.0,,
NY,US 20,Border City- 0.2 Mile West of NY 96A,13.0,10.0,,
NY,US 20,Cherry Valley- 0.2 Mile West of NY 166,13.0,10.0,,
NY,US 20,Duanesburg- 0.7 Mile Northwest of NY 7,12.0,8.0,,
NY,US 20,McCormack Corners- 0.2 Mile Northwest of NY 146,13.0,11.0,,
NY,US 20,Snagerfield- 0.2 Mile West of NY 12,13.0,8.0,,
NY,US 20/NY 78,West Seneca- 0.25 Mile North of NY 19,13.0,6.0,,
NY,US 202,Suffern- 0.4 Mile North of NY 59,9.0,7.0,,
NY,US 4,Fort Edward- 0.5 Mile North of NY 197,13.0,11.0,,
NY,US 4,Schuylerville- 0.2 Mile North of NY 32,12.0,10.0,,
NY,US 6,Port Jervis- 0.5 Mile North of I-84 at Neversink River Bridge,13.0,4.0,,
IN,IN 1,Connersville - 0.47 miles North of FIN 44,11.0,2.0,,
IN,IN 17,Plymouth - 1.7 miles South of US 30,11.0,0.0,,
IN,IN 43 NB,Solsberry - 4.13 Miels North of IN 54,11.0,2.0,,
IN,IN 43 SB,Solsberry - 4.13 Miels North of IN 54,11.0,3.0,,
IN,"IN 450 EB, WB",Williams - 8.3 miles West of IN 158,12.0,11.0,,
IN,US 136 EB,Clermont -1.5 miles West of IN 134,12.0,5.0,,
IN,US 136 EB,Clermont -1.5 miles West of IN 134,12.0,4.0,,
IN,"US 150    
(Springfield Ave)",Ferguson Hill -1.94 miles North of US 40,13.0,0.0,,
IN,US 231,Lake City - 0.23 miles South of Jct. US 41,13.0,6.0,,
WV,Alt. US 119,Mitchell Heights- 0.64 Miles North of US 199,12.0,0.0,,
WV,Alt. WV 10,Huntington- Between 7th Ave and 8th Ave,13.0,4.0,,
WV,Alt. WV 37,Wayne- 0.15 Miles South of US 60,13.0,4.0,,
WV,County 21,0.2 Miles South of US 50,13.0,4.0,,
WV,US 119,Williamson- 0.02 Miles south of US 52,13.0,5.0,,
WV,US 19,Kegley- 0.5 Miles South of WV 10,12.0,9.0,,
WV,US 250,Philippi- South of US 119 at Tygart Valley River Bridge,12.0,0.0,,
WV,US 40,Wheeling- Just north of I-70,11.0,0.0,,
WV,WV 16,War- Approximately 1 Mile North,13.0,5.0,,
WV,WV 16,Welch-0.27 Miles South of WV 7,10.0,6.0,,
WV,WV 17,Logan- 0.02 Miles North of WV 10,9.0,4.0,,
MD,MD 109,Barnesville,13.0,0.0,,
MD,MD 117,Boyds,12.0,0.0,,
MD,MD 117,Bucklodge - 1.5 miles Northwest of Boyds,13.0,0.0,,
MD,MD 135,Cumberland - South of US 220 Overpass,12.0,0.0,,
MD,MD 269,Colora,11.0,0.0,,
MD,MD 303,Cardova - Northeast at MD 309,12.0,6.0,,
MD,MD 36,Frostburg,10.0,4.0,,
MD,MD 51,Northwest of Paw Paw WV,13.0,4.0,,
MD,MD 7,North East,12.0,0.0,,
AL,AL 1/US 31,Seale,13.0,0.0,,
AL,AL 10,Greenville,10.0,0.0,,
AL,AL 111,Wetumpka - at Coosa Rver Bridge,12.0,6.0,,
AL,AL 251,Ardmore,11.0,0.0,,
AL,AL 51,Opelika-South of Jct. I-85,13.0,4.0,,
AL,AL 53,"Ardmore-West, East of Jct I-65",10.0,8.0,,
AL,Local Road,"Nectar-1 mile east, Locust Fork River, covered bridge",9.0,0.0,,
AL,Swan Bridge Rd,Cleveland-1 mile west at Locust Fork River Bridge,13.0,0.0,,
AL,US 31,Montgomery - at Coosa River,13.0,4.0,,
AL,US 90,Mobile-Bankhead Tunnel,12.0,0.0,,
AL,US 98 WB,Spanish Fort - 0.3 miles west,13.0,6.0,,
NV,NV 738,"Las Vegas - South, Jean Underpass",14.0,0.0,,
NV,"NV 794 
(Winnemucca 
Blvd)",Winnemucca,14.0,0.0,,
NV,US 50,Cave Rock Tunnel - Lake Tahoe,12.0,4.0,,
NV,US 50,Cave Rock Tunnel - Lake Tahoe,13.0,7.0,,
NV,"Wells Ave (F.A.U. 
663)",Reno - 0.2 miles North of E. 2nd St.,13.0,10.0,,
AZ,6th AVE,Tucson-mile point 66.73,10.0,11.0,,
AZ,AZ 188,4 miles north of jct. AZ 88 at Salt River-mile point 262.44,12.0,3.0,,
AZ,AZ 80,Douglas- mile point 366.10,12.0,10.0,,
AZ,AZ 84 EB,Casa Grande-mile point 177.66,13.0,6.0,,
AZ,US 191,Morenci-Tunnel at mile point 169.90,12.0,10.0,,
PA,PA 53,Jamestown,13.0,1.0,,
PA,PA 53,Wilmore- 0.4 Mile West of PA 160,13.0,0.0,,
PA,PA 532 NB,Holland- 0.2 Mile South,9.0,8.0,,
PA,PA 532 SB,Holland- 0.2 Mile South,9.0,11.0,,
PA,PA 532 SB,Newtown- 2.2 Miles South,13.0,5.0,,
PA,PA 54,Danville- at Susquehanna River Bridge,13.0,2.0,,
PA,PA 56/711,Seward- Just North of Conemaugh River,13.0,4.0,,
PA,PA 568,Gibralter- Just South of PA 724,13.0,3.0,,
PA,PA 58,Jamestown- Just Southwest of Junction PA 56 and US 322,10.0,8.0,,
PA,PA 59,Ornsby- 1.5 Mile West of Junction PA 646,13.0,3.0,,
PA,PA 61,Sunbury- East at Shamokin Creek Bridge,13.0,6.0,,
PA,PA 611 NB,Easton - 0.2 Mile South,12.0,11.0,,
PA,PA 616,Railroad- 0.4 Mile North of PA 851,8.0,1.0,,
PA,PA 616,Seitzland,10.0,0.0,,
PA,PA 641,Carlisle- Just West of US 11,12.0,10.0,,
PA,PA 690 EB,Moscow- Just East of PA 435,12.0,10.0,,
PA,PA 690 WB,Moscow- Just East of PA 435,12.0,5.0,,
PA,"PA 8 (Washing-
ton Blvd)",Pittsburg- 0.3 Mile North of PA 380,13.0,4.0,,
PA,PA 8 NB,Wilkinsburg- at I-376,13.0,2.0,,
PA,PA 8 NB,Wilkinsburg- at I-376,13.0,2.0,,
PA,PA 849,Duncannon- Just West of Juniata River,13.0,6.0,,
PA,PA 866,Ganister- 1.7 Mile East of US 22,12.0,4.0,,
PA,PA 87,Mehoopany- 0.5 Mile South,12.0,6.0,,
PA,PA 885 (2nd Ave),Pittsburg- 0.2 Mile Sout of I-376,12.0,1.0,,
PA,PA 89,Northeast- 0.4 Mile South of US 20,13.0,4.0,,
PA,PA 98,Fairview- 0.8 Mile North of US 20,13.0,3.0,,
PA,PA 981,Latrobe,9.0,10.0,,
PA,US 13,Norwood- 0.5 Mile North at South Ave,12.0,9.0,,
PA,US 13,Philadelphia- 0.15 Mile South of Wissahickon Ave,13.0,4.0,,
PA,"US 13 (Highland 
Ave)",Chester- 0.7 Mile West of US 322,13.0,0.0,,
PA,"US 13 NB (Ches-
ter Pike)",Ridley Park- 0.35 Mile East of Fairview Road,13.0,5.0,,
PA,US 19,Fairview- 2 Miles South,13.0,5.0,,
PA,US 19,Mercer- 2.6 Miles South of I-80,12.0,6.0,,
PA,US 220 BUS,Tyrone,12.0,9.0,,
IA,IA 14,Corydon - North,13.0,6.0,13.0,3.0
IA,IA 146,Grinnell - 2 miles North,13.0,9.0,13.0,6.0
IA,"IA 415 NB     
(2nd Ave)",Des Moines - 0.9 miles South of I-35/80,13.0,7.0,13.0,4.0
IA,"IA 415 SB      
(2nd Ave)",Des Moines - 0.9 miles South of I-35/80,13.0,6.0,13.0,4.0
IA,IA 83,Atlantic - 0.5 miles West,14.0,6.0,13.0,4.0
IA,"US 61 NB   
(Brady St)",Davenport - 0.1 miles North of 4th St,12.0,2.0,11.0,8.0
IA,"US 61 SB     
(Harrison Ave)",Davenport - 0.3 miles North of US 61/67 (River Drive),12.0,1.0,11.0,8.0
WA,Stadium Way,"Pullman- Washington State University Campus, Between Highway 27 and Highway 
270: Stadium Way at Colorado Street",13.0,11.0,13.0,11.0
WA,US 2,"Skykomish- Tunnel 2.7 Miles Northwest, Milepost 45.98",13.0,6.0,19.0,6.0
WA,"US 2/395 
(Browne St)","Spokane- 0.2 Miles North of I-90, US 2 Mile Post 287.18",14.0,0.0,14.0,6.0
WA,"US 2/395 SB 
(Division St)","Spokane- 0.2 Miles North of I-90, US 2 Mile Post 287.18",13.0,6.0,14.0,0.0
WA,"US 395 SB 
(Lewis St)",Pasco- Westbound on Lewis Street to Southbound on US 395,13.0,10.0,14.0,5.0
WA,"WA 125 NB (Pine 
St)","Walla Walla- North of Oregon State Line, Milepost 5.93",14.0,0.0,14.0,3.0
WA,WA 14 EB,"Five Tunnels Between Cook & Underwood, Mileposts 58.09, 58.45,58.92, 59.61, & 
60.23",12.0,9.0,14.0,6.0
WA,WA 14 EB,"Lyle- Two Tunnels Approxamately 1 Mile East, Mileposts 76.77 and 76.86",12.0,6.0,13.0,10.0
WA,WA 167 NB,"Renton-0.6 Miles North of I-405, Milepost 26.90",13.0,8.0,13.0,9.0
WA,WA 24 NB,"Othello- 1 Mile South of WA 26 Underpass, Milepost 79.63",13.0,10.0,13.0,10.0
WA,"WA 27 SB Onto 
Stadium Way",Pullman- See Stadium Way Below,13.0,5.0,13.0,8.0
WA,"WA 270 NB Onto 
Stadium Way",Pullman- See Stadium Way Below,13.0,5.0,13.0,8.0
WA,WA 506 WB,Vader- Westbound on WA 506 to Northbound I-5,12.0,9.0,12.0,9.0
WA,"WA 509 SB (East 
11th St.)","Tacoma- 1.6 Miles North of I-5 Over City Waterway, Milepost 0.22",13.0,11.0,18.0,9.0
WA,WA 513 SB,"Seattle- 0.6 Miles North of WA 520 at University of WA, Milepost 0.61",12.0,8.0,15.0,2.0
WA,WA 536,"Mt. Vernon- 2 Street Underpass, Milepost 4.98",13.0,11.0,14.0,0.0
WA,WA 538 EB,Mt. Vernon- East of Junction I-5,14.0,0.0,15.0,0.0
WA,WA 99 SB,Seattle- at Columbia Street Entrace Ramp Southbound,14.0,0.0,14.0,0.0
WA,"WA 99 SB (Alas-
kan Way Viaduct)","Seattle- 3.8 Miles North of Junction WA 509, Milepost 29.84",14.0,0.0,14.0,3.0
WA,"WA 99 SB, NB","Seatle- Pedestriam Overpass, 0.4 Miles South of N 45 St",13.0,7.0,16.0,9.0
NH,NH 110,Berline,10.0,4.0,,
NH,NH 110 A,Milan,13.0,6.0,,
NH,NH 119,"Hinsdale - 7.3 miles North, Connecticut River Bridge",12.0,0.0,,
NH,NH 135,Dalton,10.0,3.0,,
NH,NH 135,Woodsville - North of US 302,10.0,11.0,,
NH,NH 16 A,Jackson - Ellis River Bridge,12.0,3.0,,
NH,NH 16 B,Rochester,12.0,2.0,,
NH,NH 25,"Piermont- 1.7 miles West, Connecticut River Bridge",12.0,0.0,,
NH,NH 63,Hinsdale - 2.3 miles South,12.0,8.0,,
NH,NH 85,Exeter,11.0,8.0,,
NH,NH 9,Chesterfield - Connecticut River Bridge,13.0,6.0,,
NJ,Access Rd,"Elmwood Park - I-80 Underpass, Mile Marker 60.59",10.0,10.0,,
NJ,Cemetary Rd,"RiverEdge - NJ 4 Overpass, Mile Marker 5.5",13.0,0.0,,
NJ,I-278,Linden - Mile Marker 0.66,12.0,0.0,,
NJ,I-495,"Union city - Hudson Ave Overpass, Mile Marker 1.85",13.0,3.0,,
NJ,I-80,Columbia - Mile Marker 3.62,12.0,3.0,,
NJ,I-80,"Columbia - Decatur St. Overpass, Mile Marker4.18",13.0,2.0,,
NJ,Main Street,"Ft. Lee - US 1/9/46 Overpass, Mile Marker 64.51",13.0,4.0,,
NJ,NJ 173,Bloomsbury - Mile Marker 4.35,12.0,4.0,,
NJ,NJ 24 WB,"Madison, Mile Mark 4.81",13.0,0.0,,
NJ,NJ 28,Plainfield - Mile Marker 14.42,11.0,11.0,,
NJ,NJ 4,"EngleWood - Jones Rd Overpass, Mile Marker 9.62",13.0,4.0,,
NJ,NJ 439,Elizabeth - Mile marker 1.93,12.0,1.0,,
NJ,NJ 5,"Cliffside Park - Delia Blvd Overpass, Mile Mark 0.5",10.0,6.0,,
NJ,NJ 53,Denville - Mile Marker 4.2,13.0,2.0,,
KS,KS 31/US 59,Garnett - 1.0 miles South,14.0,0.0,,
KS,KS 34,Bucklin - 0.1 miles North of Jct. US 54,13.0,9.0,,
KS,KS 53,Mulvane - 0.3 miles West of KS 15,14.0,0.0,,
KS,"Turner Diagonal 
EB","Kansas City - 0.3 miles South of I-70 ext 415, Riverview Ave. Overpass",14.0,0.0,,
KS,US 147,Spillway at Cedars Bluff Reservoir,14.0,0.0,,
KS,US 166,Arkansas City - 0.3 miles East of US 77,13.0,6.0,,
KS,US 40/59,Lawrence - 1 miles South of Jct. I-70,14.0,0.0,,
KS,US 56,Herington - 3.3 miles East of US 77,13.0,6.0,,
KS,US59,Garnett - at KS 31/US 59 Entry,,,,
DC,"NW Potomac 
River Fwy","US 50 (Theodore Roosevelt Memorial Bridge)Overpass - between 23 St. and the 
Rock Creek & Potomac Pkwy",12.0,6.0,,
DC,"NW Potomac 
River Fwy",27th Steet Underpass,12.0,11.0,,
DC,"NW Potomac 
River Fwy",Whitehurst Fwy Ramp Overpass,12.0,6.0,,
DC,"SE Anacostia 
Drive",South Capital St Overpass,13.0,4.0,,
DC,SE Canal Street,Overpass near I-395,13.0,3.0,,
DC,"SE South Capital 
Street",Underpass North of I-395,13.0,4.0,,
DC,"SE Suitland 
Pkwy",Anacostia Freeway Overpass,12.0,6.0,,
DC,SW 2nd Street,Underpass at Virginia Ave,13.0,5.0,,
DC,SW 3rd Street,Underpass at Virginia Ave,13.0,6.0,,
DC,SW 7th Street,Underpass at Virginia Ave,13.0,6.0,,
VA,"24th Street NW/ 
Boulevard St. 
SW","Roanoke- 0.5 Miles S. of US 11/460 (Melrose Avenue NW) 0.1 Mile North of Salem 
Avenue SW",10.0,3.0,,
VA,Bus. US 23,Appalachia- 0.4 Miles Southwest,13.0,3.0,,
VA,Bus. US 250,Charlottesville- 0.6 Miles East of Bus. US 29,10.0,8.0,,
VA,Bus. US 29,Charlottesville- 0.4 Miles South of Bus. US 250,12.0,7.0,,
VA,Bus. US 29,Charlottesville- 0.1 Miles North of Bus. US 250,13.0,3.0,,
VA,"I-264 Alt. US 460 
WB","Portsmouth- Norfolk Downtown tunnel, Both Ends",13.0,3.0,,
VA,US 1,Alberta- 0.7 Miles Northwest of VA 46,13.0,6.0,,
VA,US 1,Woodbridge- 4.5 Miles North,13.0,3.0,,
VA,US 11 SB,Staunton- 0.5 Miles South of Junction VA 254,9.0,9.0,,
MI,Mertz Rd,Caro - 1 mile West of Hwy 24,11.0,0.0,,
MI,"MI 1 EB    
(Woodward Ave)",Highland Park - Davidson Ave,13.0,1.0,,
MI,"MI 1 WB   
(Woodward Ave)",Highland Park - Davidson Ave,13.0,3.0,,
MN,Bus. US 2,"East Grand Forks - Red River Bridge at North Dakota State Line, Mile Point 0",13.0,0.0,,
MN,MN 36,"Stillwater - StCroix RivBridge at Wisconsin State Line, Mile Point 205.25",13.0,2.0,,
MN,MN 39,"Duluth - 0.9 mile East of MN 23, St. Louis River Bridge, Mile Point 0.90",11.0,0.0,,
MN,MN 70,Pine City - 4.5 Miles south at Mile Point 20.06,13.0,6.0,,
SD,Alt US 16,Keystone- Tunnel 6.5 Miles Southeast at Mile Marker 50.49,12.0,1.0,,
SD,SD 248,Reliance- I-90 Underpass at Interchange 248,13.0,5.0,,
SD,SD 271,Java- 1.1 Miles Northeast of SD 130 at Mile Marker 167.65,12.0,1.0,,
SD,SD 53,White River Bridge- 13.8 Miles South at I-90 at Mile Marker 69.70,11.0,7.0,,
SD,SD 79 NB,Rapid City- West of I-90 Interchange 51 at Mile Marker 87.08,13.0,10.0,,
SD,SD 87,"Sylvan Lake- Tunnel 1 Mile Southeast in Custer State Park, Mile Marker 74.65",10.0,7.0,,
SD,SD 87,"Sylvan Lake- Tunnel 1 Mile Southeast in Custer State Park, Mile Marker 72.85",11.0,9.0,,
SD,SD 87,"Sylvan Lake- Tunnel 1 Mile Southeast in Custer State Park, Mile Marker 66.85",12.0,5.0,,
SD,US 14,Pierre- Downtown,11.0,1.0,,
SD,US 81,Yankton- 12 Miles North at James River Bridge at Mile Marker 13.61,12.0,4.0,,
FL,"Alton Rd (FL 
945)",Miami Beach - FL A1A/US 41 Overpass,11.0,11.0,,
FL,Barth Rd,Jacksonville - US 1/23 Overpass,12.0,4.0,,
FL,Bloxam Street,Tallahassee - FL 61 Overpass,12.0,6.0,,
FL,College Street,Jacksonville - I-95 Overpass,12.0,8.0,,
FL,Gadsden Street,Tallahassee - US 27 Overpass,13.0,0.0,,
FL,Palm Ave,Jacksonville - I-95 Overpass,8.0,6.0,,
FL,Sea World Dr,"Orlando - Southwest, I-4 Overpass",13.0,1.0,,
FL,US 92 W,Lakeland - 1.5 mile East of Wabash Ave,12.0,6.0,,
FL,"Washington 
Street",Lake City - US 41 Overpass,12.0,9.0,,
MA,"MA 28           
(McGrath Hwy)",Somerville - 0.4 miles South of I-93,13.0,4.0,,
MA,"MA 3             
(Memorial Drive)",Cambridge - Express Underpass at Jct. MA 2A,9.0,2.0,,
MA,MA 3 NB,Boston - 0.4 miles South of Jct MA 28,11.0,6.0,,
MA,"MA 31             
(Depot Street)",Fitchvurg -0.2 miles North of MA 12,12.0,6.0,,
MA,"MA 31         
(Princeton Rd)",Fitchburg - 1.6 miles North of MA 2,13.0,2.0,,
MA,"MA 32 A (Barre 
Rd/Old MA 32)",Hardwick - 0.2 miles West of MA 32,12.0,0.0,,
MA,"MA 35          
(High Street)",Danvers,13.0,5.0,,
MA,"MA 3A/113   
(Kendall Rd)",Tyngsboro - at Merrimack River Bridge,12.0,11.0,,
MA,"MA 62          
(Main Street)",Concord,12.0,2.0,,
MA,"MA 62/70     
(Main Street)",Clinton - 0.1 miles North of US 1,11.0,0.0,,
MA,"MA 68         
(Gardner Street)",Baldwinnville - East of US 202,13.0,6.0,,
MA,"MA 6A         
(Main Street)",Barnstable - approx 1 mile West,12.0,2.0,,
MA,"MA 85            
(River Street)",Cordaville - 0.08 miles South of I-90,11.0,0.0,,
MA,"MA 9            
(Huntington Ave)",Boston - MA 2A (Massachusetts Ave) Overpass,13.0,4.0,,
MA,"MA 9            
(Main Street)",North Hampton - East of US 5,12.0,3.0,,
MA,"US 1              
(Lafayette Rd)",Salisbury - 0.75 miles North of MA 110,13.0,3.0,,
MA,US 5/ MA 10,"Greenfield - 0.2 miles South of MA 2 A, Main Street",12.0,10.0,,
MA,US6 WB,West Barnstable - 0.7 miles Southwest at MA 149 Overpass,13.0,4.0,,
TN,TN 116,"Disney- 1.27 Miles North of I-75, Mile Marker 0.97",13.0,5.0,,
TN,TN 131,"Ball Camp- 1.1 Mile North, Mile Marker 5.93",10.0,7.0,,
TN,TN 17,"Chattanooga- Near Lookout Mountain, Mile Marker 2.05",8.0,6.0,,
TN,TN 241,"Center- 6.9 Miles North, Natches Trace Parkway Overpass, Mile Marker 1.20",11.0,6.0,,
TN,TN 246,"Columbia- 3.4 Miles North of Junction US 31 and TN 99, Mile Marker 0.79",11.0,1.0,,
TN,TN 252,"Clovercroft- 1.7 Miles Southeast, Mile Marker 3.59",10.0,7.0,,
TN,TN 252,Clovercroft- Mile Marker5.26,10.0,9.0,,
TN,TN 252,"Clovercroft- 2 Miles North, Mile Marker 7.37",10.0,5.0,,
TN,TN 299,"Oakdale- 1.0 Mile West of TN 328, Mile Marker 9.89",10.0,6.0,,
TN,"TN 33 (Maryville 
Pike)","Knoxville- 0.8 Miles Southwest of US 441, Mile marker 4.76",10.0,2.0,,
TN,"TN 33 (Maryville 
Pike)","Mt. Olive- 0.3 Miles North, Mile Marker 3.00",12.0,9.0,,
TN,TN 346,"Church Hill- 0.3 Miles North of US 11W, Mile Marker 8.21",10.0,2.0,,
TN,TN 39,"Riceville- 0.2 Miles North, Mile Marker 3.00",13.0,3.0,,
TN,TN 40/ US 64,"Cleveland- 0.9 Mile East of Byp. US 11, Mile Marker 0.93",11.0,1.0,,
TN,TN 47,"White Bluff- 2 Miles South of US 70, Mile Marker 8.57",11.0,10.0,,
TN,TN 58,"Chattanooga- 1 Mile South of I-25, Mile Marker 3.25",10.0,4.0,,
TN,TN 87,"Henning- 0.5 Mile East of TN 209, Mile Marker 20.79",8.0,0.0,,
TN,US 25 W/ TN 9,"Clinton- 0.15 Mile North of TN 61, Mile Marker 9.94",13.0,5.0,,
TN,US 27,Chattanooga- Southeast of Junction I-124 at McCallie Tunnel,12.0,4.0,,
TN,"US 31/ TN 6 (8th 
Ave S)","Nashville- 0.2 Miles North of I-40, Mile Marker 8.24",12.0,10.0,,
TN,US 41/ 64/ 72,"Chattanooga- West of I-24, Mile Marker 3.33",13.0,6.0,,
TN,US 41/ 64/ 73,"Chattanooga- 1.2 Mile West of I-24, Mile Marker 3.25",12.0,7.0,,
ID,I-84 B (11th Ave),Nampa - Mile Post 58.89,13.0,10.0,,
ID,I-84 B (11th Ave),"Nampa - Front St Overpass, Mile Post 58.88",13.0,9.0,,
ID,US 26 SB,Idaho Falls Mile Post 333.48,13.0,10.0,,
ID,US 30,Pocatello - Mile Post 334.14,13.0,6.0,,
ID,US 30 B,Pocatello - Mile Post 0.16,13.0,6.0,,
ID,US 30 B,Pocatello -Mile Post 0.24,13.0,11.0,,
ID,US 95 Spur SB,Weiser - Mile Post 0.15,13.0,11.0,,
NY,NY 251,Scottsville,13.0,9.0,,
NY,NY 253,East Rochester,13.0,11.0,,
NY,NY 259,Spencerport- 0.2 Mile South of New York State Barge Canal,12.0,6.0,,
NY,NY 25A,New York City- 1.5 Mile West of I-295,13.0,6.0,,
NY,NY 25A,Street James- 1.5 Mile Northeast of NY 25,13.0,9.0,,
NY,Ny 26,Endicott- 0.2 Mile North of NY 17C,13.0,0.0,,
NY,NY 265,Buffalo- 2.7 Mile South of NY 324,13.0,8.0,,
NY,NY 266,Buffalo- 0.3 Mile North of NY 198,12.0,4.0,,
NY,NY 266,Tonawanda- 0.5 Mile North of NY 325,13.0,11.0,,
NY,NY 27,Amityville- at NY 110 Overpass,13.0,10.0,,
NY,NY 27,Freeport- Meadowbrook State Parkway Overpass,13.0,3.0,,
NY,NY 27,Lynbrook,13.0,5.0,,
NY,NY 27,Lynbrook- 1.5 Mile West,13.0,6.0,,
NY,NY 27,New York City- 0.5 Mile East of Rockaway Parkway,12.0,4.0,,
NY,NY 28,Kingston,13.0,10.0,,
NY,NY 28,Thendara- 1 Mile Northeast,13.0,5.0,,
NY,NY 286,Macedon- 0.75 Mile North of NY 31,13.0,4.0,,
NY,NY 291,Stittsville- 2 Mile North of NY 365,13.0,11.0,,
NY,NY 3/26,Carthage- 0.4 Mile North of Junction NY 3 & NY 26,12.0,6.0,,
NY,NY 30,Esperance- 1.2 Miles South of US 20,12.0,10.0,,
NY,NY 308,Rhineback- 1.8 Miles East at NY 9G Overpass,13.0,11.0,,
NY,NY 30A,Central Bridge- 0.5 Mile North of NY 7,13.0,11.0,,
NY,NY 31,Niagra Falls- 0.4 Miles East of NY 104,13.0,7.0,,
NY,NY 31,Rochester- 0.7 Miles Northwest of I-490,12.0,9.0,,
NY,NY 311,Lake Carmel- 0.34 Mile North of NY 164,11.0,9.0,,
NY,NY 31F,Macedon- 0.9 Mile North of NY 31,13.0,7.0,,
NY,NY 32,Albany- 1.4 Mile North of I-90,13.0,11.0,,
NY,NY 32,Albany- 0.6 Mile South of I-90,11.0,4.0,,
NY,NY 329,Watkins Glen- 2 Mile North of NY 164,12.0,5.0,,
NY,NY 33,Rochester- 1 Mile East of New York State Barge Canal,12.0,0.0,,
NY,NY 334,Fonda- 0.6 Mile Northwest of NY 5,13.0,0.0,,
NY,NY 335,Elsmere,13.0,6.0,,
NY,NY 33A,Rochester- 0.1 Mile East of New York State Barge Canal,13.0,0.0,,
NY,NY 33B,Buffalo- 0.4 Mile West of US 62,13.0,8.0,,
NY,NY 34,Spencer- 4.3 Mile North,12.0,6.0,,
NY,"Co. 80         
(Mantauk Hwy)",East Port,11.0,11.0,,
NY,"Co. 80          
(Mantauk Hwy)",Hampton Bays- 1 Mile West,13.0,9.0,,
NY,"Co. 80          
(Mantauk Hwy)",Moriches,12.0,6.0,,
NY,"Co. 80         
(Mantauk Hwy)",Sayville,13.0,7.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- 60th Street Overpass,12.0,10.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- at Williamsburg Bridge,10.0,6.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- 0.25 Mile South of williamsburg Bridge,13.0,8.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- Just North of NY 25,13.0,0.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- 0.2 Mile Northeast of NY 25,13.0,8.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- 0.9 Mile Northeast of NY 25,13.0,8.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- 1.3 Mile Northeast of Ny 25,12.0,8.0,,
NY,"F.D. Roosevelt 
Dr.",New York City- 0.5 Miles south of Triborough Bridge,12.0,6.0,,
NY,"F.D. Roosevelt 
Dr. Access Rd","New York City- at 78th Street, 0.9 Miles Northeast of NY 25",13.0,0.0,,
NY,"F.D. Roosevelt 
Dr. Ramp SB",New York City- at Battery Pl Overpass,13.0,9.0,,
NY,Harlem River Dr.,New York City- at Willis Avenue Overpass,11.0,4.0,,
NY,Harlem River Dr.,New York City- at 3rd Avenue Overpass,13.0,8.0,,
NY,Harlem River Dr.,New York City- at 145th Street Overpass,13.0,7.0,,
